Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2001-01-02,1331.0,1334.8,1289.0,1299.8,,1299.8,81144.0,467704.0
2001-01-03,1296.0,1370.0,1289.0,1359.2,,1359.2,107908.0,471879.0
2001-01-04,1359.0,1365.0,1341.6,1348.3,,1348.3,92691.0,470744.0
2001-01-05,1348.0,1349.0,1304.0,1304.5,,1304.5,85100.0,474904.0
2001-01-08,1307.5,1310.5,1287.5,1309.5,,1309.5,74001.0,476537.0
2001-01-09,1315.0,1325.5,1306.0,1309.5,,1309.5,71853.0,475111.0
2001-01-10,1300.0,1328.9,1297.0,1327.0,,1327.0,82176.0,476222.0
2001-01-11,1321.0,1343.5,1321.0,1334.5,,1334.5,70544.0,465269.0
2001-01-12,1338.5,1345.0,1322.0,1330.3,,1330.3,67592.0,468147.0
2001-01-16,1330.0,1339.5,1324.0,1335.5,,1335.5,55288.0,465367.0
2001-01-17,1353.5,1358.0,1335.0,1341.7,,1341.7,72609.0,461036.0
2001-01-18,1344.0,1364.0,1337.1,1356.0,,1356.0,75183.0,460180.0
2001-01-19,1369.0,1369.0,1345.5,1348.5,,1348.5,68946.0,455142.0
2001-01-22,1347.5,1364.2,1343.0,1358.5,,1358.5,63861.0,459062.0
2001-01-23,1354.5,1373.0,1348.5,1366.0,,1366.0,63902.0,457836.0
2001-01-24,1367.0,1379.0,1366.0,1370.2,,1370.2,60583.0,455310.0
2001-01-25,1368.0,1377.0,1363.0,1364.5,,1364.5,54207.0,455234.0
2001-01-26,1359.5,1366.5,1350.5,1363.3,,1363.3,48959.0,453975.0
2001-01-29,1359.9,1374.0,1359.0,1370.0,,1370.0,44452.0,451393.0
2001-01-30,1372.0,1384.0,1364.0,1382.0,,1382.0,51911.0,449971.0
2001-01-31,1380.0,1390.0,1371.0,1372.9,,1372.9,65854.0,451164.0
2001-02-01,1372.0,1383.5,1366.5,1382.5,,1382.5,58460.0,452462.0
2001-02-02,1382.5,1383.7,1352.1,1353.3,,1353.3,61971.0,452638.0
2001-02-05,1353.5,1362.9,1351.2,1362.0,,1362.0,47866.0,451439.0
2001-02-06,1360.2,1370.0,1356.0,1356.3,,1356.3,47771.0,451101.0
2001-02-07,1351.0,1356.5,1340.0,1349.5,,1349.5,65552.0,453206.0
2001-02-08,1351.1,1356.5,1334.0,1335.0,,1335.0,64675.0,454578.0
2001-02-09,1335.0,1335.9,1315.0,1321.5,,1321.5,62209.0,452455.0
2001-02-12,1319.5,1338.5,1319.5,1333.5,,1333.5,58991.0,451638.0
2001-02-13,1336.5,1342.0,1322.0,1326.1,,1326.1,68244.0,453076.0
2001-02-14,1324.5,1325.5,1308.5,1319.8,,1319.8,73283.0,449210.0
2001-02-15,1327.0,1335.9,1325.5,1333.1,,1333.1,66288.0,440620.0
2001-02-16,1303.0,1312.5,1296.5,1305.5,,1305.5,78064.0,428594.0
2001-02-20,1309.0,1310.8,1282.0,1285.3,,1285.3,73992.0,426715.0
2001-02-21,1277.0,1287.2,1255.0,1256.5,,1256.5,91723.0,416906.0
2001-02-22,1260.5,1264.5,1230.0,1257.5,,1257.5,109801.0,410200.0
2001-02-23,1247.5,1253.5,1217.0,1247.5,,1247.5,117113.0,390707.0
2001-02-26,1253.5,1274.3,1244.0,1273.6,,1273.6,83423.0,380758.0
2001-02-27,1267.7,1277.0,1254.5,1264.1,,1264.1,91059.0,371368.0
2001-02-28,1268.5,1268.5,1231.0,1242.0,,1242.0,111257.0,359566.0
2001-03-01,1236.5,1244.0,1216.0,1243.5,,1243.5,115029.0,344907.0
2001-03-02,1224.0,1254.0,1221.0,1235.2,,1235.2,92929.0,332971.0
2001-03-05,1239.5,1244.5,1235.6,1243.7,,1243.7,67672.0,321780.0
2001-03-06,1258.5,1270.0,1253.5,1257.0,,1257.0,93625.0,298501.0
2001-03-07,1264.0,1267.0,1254.8,1265.2,,1265.2,98829.0,270115.0
2001-03-08,1262.0,1268.0,1258.0,1266.2,,1266.2,76116.0,230205.0
2001-03-09,1254.0,1255.0,1227.0,1231.1,,1231.1,64498.0,198638.0
2001-03-12,1218.0,1220.0,1174.0,1179.1,,1179.1,67533.0,163924.0
2001-03-13,1185.5,1199.0,1172.0,1197.2,,1197.2,55775.0,139178.0
2001-03-14,1165.2,1188.0,1155.0,1169.2,,1169.2,51914.0,112346.0
2001-03-15,1180.0,1182.0,1169.5,1173.3,,1173.3,28394.0,107313.0
2001-03-16,1179.5,1182.5,1158.5,1161.8,,1161.8,91664.0,464007.0
2001-03-19,1165.0,1185.5,1158.5,1180.5,,1180.5,62057.0,465156.0
2001-03-20,1185.0,1192.0,1151.0,1152.5,,1152.5,90271.0,463259.0
2001-03-21,1152.0,1161.5,1127.0,1132.0,,1132.0,97377.0,467595.0
2001-03-22,1127.5,1132.0,1088.5,1119.5,,1119.5,126055.0,465230.0
2001-03-23,1136.0,1155.0,1126.5,1153.5,,1153.5,87235.0,459675.0
2001-03-26,1167.0,1170.5,1156.3,1167.1,,1167.1,63018.0,459610.0
2001-03-27,1164.5,1194.5,1161.0,1190.0,,1190.0,83329.0,461864.0
2001-03-28,1174.5,1176.5,1156.0,1159.5,,1159.5,76516.0,459209.0
2001-03-29,1153.5,1172.0,1144.0,1161.5,,1161.5,77207.0,460025.0
2001-03-30,1165.1,1177.0,1152.0,1169.2,,1169.2,86924.0,460625.0
2001-04-02,1168.5,1179.0,1145.5,1150.3,,1150.3,80139.0,454997.0
2001-04-03,1145.5,1148.4,1107.0,1108.6,,1108.6,95808.0,451975.0
2001-04-04,1110.5,1126.0,1098.5,1112.5,,1112.5,88995.0,454264.0
2001-04-05,1137.0,1161.5,1132.5,1155.0,,1155.0,87627.0,458133.0
2001-04-06,1145.0,1148.5,1126.0,1140.2,,1140.2,92320.0,455783.0
2001-04-09,1144.8,1155.0,1134.0,1150.2,,1150.2,63461.0,457598.0
2001-04-10,1158.0,1182.5,1156.0,1172.0,,1172.0,78305.0,460258.0
2001-04-11,1193.0,1193.5,1166.5,1173.2,,1173.2,75876.0,455806.0
2001-04-12,1168.0,1193.2,1164.0,1192.3,,1192.3,73898.0,452729.0
2001-04-16,1188.0,1192.5,1173.5,1182.0,,1182.0,63650.0,451127.0
2001-04-17,1177.0,1201.0,1174.6,1195.5,,1195.5,73728.0,453535.0
2001-04-18,1215.5,1270.0,1211.0,1246.2,,1246.2,113457.0,464206.0
2001-04-19,1245.5,1262.5,1239.5,1258.7,,1258.7,76226.0,464832.0
2001-04-20,1254.0,1257.0,1240.0,1250.8,,1250.8,65134.0,460433.0
2001-04-23,1242.0,1242.5,1222.5,1226.0,,1226.0,67017.0,460644.0
2001-04-24,1230.0,1239.5,1213.6,1216.5,,1216.5,67138.0,455073.0
2001-04-25,1216.5,1238.5,1213.0,1232.0,,1232.0,69331.0,458036.0
2001-04-26,1239.0,1254.0,1237.0,1240.5,,1240.5,74327.0,454319.0
2001-04-27,1252.0,1259.5,1244.5,1258.5,,1258.5,52788.0,448154.0
2001-04-30,1265.5,1274.5,1248.5,1254.3,,1254.3,75435.0,445558.0
2001-05-01,1252.0,1273.0,1248.0,1272.5,,1272.5,69592.0,437002.0
2001-05-02,1275.5,1278.0,1261.5,1271.0,,1271.0,66090.0,434272.0
2001-05-03,1262.0,1262.5,1243.5,1254.3,,1254.3,75087.0,424820.0
2001-05-04,1236.5,1274.0,1235.0,1273.2,,1273.2,77487.0,426955.0
2001-05-07,1268.5,1274.0,1262.7,1263.5,,1263.5,50798.0,424394.0
2001-05-08,1269.5,1271.5,1256.2,1263.5,,1263.5,60799.0,417893.0
2001-05-09,1254.0,1265.3,1250.6,1257.7,,1257.7,69167.0,412052.0
2001-05-10,1271.5,1273.4,1257.5,1261.4,,1261.4,49654.0,411132.0
2001-05-11,1259.5,1263.8,1243.8,1251.8,,1251.8,50801.0,410546.0
2001-05-14,1248.1,1253.5,1244.0,1252.0,,1252.0,39552.0,413472.0
2001-05-15,1253.5,1261.4,1246.5,1257.5,,1257.5,57310.0,414362.0
2001-05-16,1247.5,1291.0,1245.0,1288.4,,1288.4,85255.0,417757.0
