Date,signal
2011-01-03,1
2011-02-01,1
2011-03-01,1
2011-04-01,1
2011-05-02,1
2011-06-01,1
2011-07-01,-1
2011-08-01,-1
2011-09-01,-1
2011-10-03,1
2011-11-01,1
2011-12-01,1
2012-01-02,1
2012-02-01,1
2012-03-01,1
2012-04-02,1
2012-05-01,-1
2012-06-01,1
2012-07-02,1
2012-08-01,1
2012-09-03,1
2012-10-01,1
2012-11-01,1
2012-12-03,1
2013-01-01,1
2013-02-01,1
2013-03-01,1
2013-04-01,1
2013-05-01,1
2013-06-03,1
2013-07-01,1
2013-08-01,1
2013-09-02,1
2013-10-01,1
2013-11-01,1
2013-12-02,1
2014-01-01,1
2014-02-03,-1
2014-03-03,1
2014-04-01,1
2014-05-01,1
2014-06-02,1
2014-07-01,1
2014-08-01,1
2014-09-01,1
2014-10-01,1
2014-11-03,1
2014-12-01,1
2015-01-01,-1
2015-02-02,1
2015-03-02,-1
2015-04-01,1
2015-05-01,1
2015-06-01,1
2015-07-01,1
2015-08-03,1
2015-09-01,1
2015-10-01,1
2015-11-02,1
2015-12-01,1
2016-01-01,-1
2016-02-01,1
2016-03-01,1
2016-04-01,1
2016-05-02,1
2016-06-01,-1
2016-07-01,1
2016-08-01,1
2016-09-01,1
2016-10-03,1
2016-11-01,1
2016-12-01,1
2017-01-02,1
2017-02-01,1
2017-03-01,1
2017-04-03,1
2017-05-01,1
2017-06-01,1
2017-07-03,1
2017-08-01,1
2017-09-01,1
2017-10-02,1
2017-11-01,1
2017-12-01,1
2018-01-01,1
2018-02-01,1
2018-03-01,1
2018-04-02,1
2018-05-01,1
2018-06-01,1
2018-07-02,1
2018-08-01,1
2018-09-03,1
2018-10-01,1
2018-11-01,1
2018-12-03,1
2019-01-01,1
